window_key,window_label,LCLid,stdorToU,adf_statistic,p_value,failed_adf
drift_2013,2013 tariff-shift period,MAC002669,Std,-12.535284156489437,2.3792216357483546e-23,False
drift_2013,2013 tariff-shift period,MAC002684,Std,-14.27566245871649,1.3506680052988134e-26,False
drift_2013,2013 tariff-shift period,MAC002704,Std,-8.569775321454843,8.257769365134119e-14,False
drift_2013,2013 tariff-shift period,MAC002734,Std,-10.52268553510724,9.591984797692373e-19,False
drift_2013,2013 tariff-shift period,MAC002784,Std,-14.655187965909946,3.450267714001989e-27,False
drift_2013,2013 tariff-shift period,MAC002882,Std,-13.149028128485394,1.3791456877925897e-24,False
drift_2013,2013 tariff-shift period,MAC002896,Std,-11.386698524481028,8.256443881917162e-21,False
drift_2013,2013 tariff-shift period,MAC003162,Std,-15.646015103667935,1.6182149654634015e-28,False
drift_2013,2013 tariff-shift period,MAC003280,Std,-10.326327735618394,2.9193560217322193e-18,False
drift_2013,2013 tariff-shift period,MAC003443,Std,-11.922668449630136,4.989891265315325e-22,False
drift_2013,2013 tariff-shift period,MAC003750,Std,-10.226029599453303,5.1742437424145235e-18,False
drift_2013,2013 tariff-shift period,MAC003948,Std,-11.660084065345366,1.942826464807071e-21,False
drift_2013,2013 tariff-shift period,MAC003985,Std,-15.444599323586598,2.835772036451664e-28,False
drift_2013,2013 tariff-shift period,MAC004014,Std,-10.227610248539065,5.127687157841586e-18,False
drift_2013,2013 tariff-shift period,MAC004067,Std,,,True
drift_2013,2013 tariff-shift period,MAC004101,Std,-11.254750305156255,1.6778535325286083e-20,False
drift_2013,2013 tariff-shift period,MAC004405,Std,-10.63991868848609,4.960390047909055e-19,False
drift_2013,2013 tariff-shift period,MAC004443,Std,-10.014721651694042,1.7410606570672116e-17,False
drift_2013,2013 tariff-shift period,MAC004455,Std,-11.657576632821952,1.9684987625117748e-21,False
drift_2013,2013 tariff-shift period,MAC004463,Std,-13.673368094626186,1.4455684276874634e-25,False
drift_2013,2013 tariff-shift period,MAC004500,Std,-5.1758046744547865,9.849156658400887e-06,False
drift_2013,2013 tariff-shift period,MAC004703,Std,-15.854132439376516,9.374223504919811e-29,False
drift_2013,2013 tariff-shift period,MAC004737,Std,-11.431433962403947,6.5021717143202835e-21,False
drift_2013,2013 tariff-shift period,MAC004860,Std,-10.129793116562608,8.98075782978335e-18,False
drift_2013,2013 tariff-shift period,MAC004887,Std,-12.323638669769133,6.6643583556489e-23,False
drift_2013,2013 tariff-shift period,MAC004904,Std,-11.574850560646704,3.0400803267978476e-21,False
drift_2013,2013 tariff-shift period,MAC004927,Std,-14.579196271243987,4.497178177936644e-27,False
drift_2013,2013 tariff-shift period,MAC004974,Std,-11.220482929103486,2.0193342770968582e-20,False
drift_2013,2013 tariff-shift period,MAC004998,Std,-12.823981822707928,6.0688431813996075e-24,False
drift_2013,2013 tariff-shift period,MAC005363,Std,-13.849441795287392,7.049468596951204e-26,False
drift_2013,2013 tariff-shift period,MAC005520,Std,-15.151761136977541,6.781568909857873e-28,False
drift_2013,2013 tariff-shift period,MAC000048,ToU,-10.462317399687862,1.3490915263455953e-18,False
drift_2013,2013 tariff-shift period,MAC000052,ToU,-9.139897554510604,2.8681453179542596e-15,False
drift_2013,2013 tariff-shift period,MAC000082,ToU,-15.119381477824298,7.498127041074726e-28,False
drift_2013,2013 tariff-shift period,MAC000165,ToU,-13.473824051663772,3.3421362714110034e-25,False
drift_2013,2013 tariff-shift period,MAC000198,ToU,-5.533225473033668,1.768208902526202e-06,False
drift_2013,2013 tariff-shift period,MAC000293,ToU,-7.510647742655904,4.02407695466797e-11,False
drift_2013,2013 tariff-shift period,MAC000354,ToU,-4.042882649829517,0.001201883168458833,False
