LCLid,pre_2011_2012_days,drift_2013_days,post_2014_days
MAC001022,244,365,59
MAC001023,244,365,59
MAC001024,244,365,59
MAC001025,244,365,59
MAC001026,244,365,59
MAC001027,244,365,59
MAC001028,243,327,0
MAC001029,244,365,59
MAC001030,243,365,59
MAC001031,244,365,59
MAC001032,242,365,59
MAC001033,244,365,59
MAC001034,243,365,59
MAC001035,243,365,59
MAC001036,243,365,59
MAC001037,243,365,59
MAC001038,243,365,59
MAC001039,243,365,59
MAC001040,243,365,59
MAC001041,243,365,59
MAC001042,243,365,59
MAC001043,243,365,59
MAC001044,243,365,59
MAC001045,243,85,0
MAC001046,243,99,0
MAC001047,243,365,59
MAC001048,243,365,59
MAC001049,243,365,59
MAC001050,243,365,59
MAC001051,243,127,0
MAC001052,243,365,59
MAC001053,243,365,59
MAC001054,243,365,59
MAC001055,238,365,59
MAC001056,238,365,59
MAC001057,238,365,59
MAC001058,238,365,59
MAC001059,238,365,59
MAC001060,238,365,59
MAC001061,238,365,59
MAC001062,237,365,59
MAC001063,238,365,59
MAC001064,238,251,0
MAC001065,225,0,0
MAC001066,238,365,59
MAC001067,238,365,59
MAC001068,237,365,59
MAC001069,238,365,59
MAC001070,238,365,59
MAC001071,238,365,59
MAC001072,238,365,59
MAC001073,238,365,59
MAC001074,227,0,0
MAC001075,238,356,59
MAC001076,238,365,59
MAC001077,238,365,59
MAC001078,238,365,59
MAC001079,238,364,59
MAC001080,238,264,0
MAC001081,238,365,59
MAC001082,236,58,0
MAC001083,238,365,59
MAC001084,233,364,59
MAC001085,238,365,59
MAC001086,238,365,59
MAC001087,238,365,59
MAC001088,238,365,59
MAC001089,238,365,59
MAC001090,238,365,59
MAC001091,238,365,59
MAC001092,237,365,59
MAC001093,238,365,59
MAC001094,238,365,59
MAC001095,236,365,59
MAC001096,238,365,59
MAC001097,238,365,59
MAC001098,238,365,59
MAC001099,238,365,59
MAC001100,238,365,59
MAC001101,238,365,45
MAC001102,238,365,59
MAC001103,238,365,59
MAC001104,238,365,59
MAC001105,238,365,59
MAC001106,237,365,59
MAC001107,237,365,59
MAC001108,237,365,59
MAC001109,238,365,59
MAC001110,238,365,59
MAC001111,238,365,59
MAC001112,238,365,59
MAC001113,238,365,59
MAC001114,238,365,59
MAC001115,238,58,0
MAC001116,238,322,0
MAC001117,238,365,59
MAC001118,238,365,59
MAC001119,238,365,59
MAC001120,237,365,59
MAC001121,238,365,59
MAC001122,238,229,0
MAC001123,238,365,59
MAC001124,238,365,59
MAC001125,238,365,59
MAC001126,237,365,59
MAC001127,237,365,59
MAC001128,237,365,59
MAC001129,236,365,59
MAC001130,236,365,29
MAC001131,237,365,59
MAC001132,236,365,59
MAC001133,237,365,59
MAC001134,236,58,0
MAC001135,236,365,59
MAC001136,237,273,0
MAC001137,236,365,59
MAC001138,236,365,59
MAC001139,237,365,8
MAC001140,237,365,59
MAC001141,237,365,59
MAC001142,236,365,59
MAC001143,237,365,59
MAC001144,237,365,59
MAC001145,237,365,59
MAC001146,237,365,59
MAC001147,237,286,0
MAC001148,236,365,59
MAC001149,237,365,59
MAC001150,1,0,0
MAC001151,236,365,59
MAC001152,237,365,59
